PRODUCTID,TYPECODE,PRODCATEGORYID,CREATEDBY,CREATEDAT,CHANGEDBY,CHANGEDAT,SUPPLIER_PARTNERID,TAXTARIFFCODE,QUANTITYUNIT,WEIGHTMEASURE,WEIGHTUNIT,CURRENCY,PRICE
RO-1001,PR,RO,9,2018-10-03,9,2018-10-03,100000000,1,EA,7.7,KG,USD,525
RO-1002,PR,RO,9,2018-10-03,9,2018-10-03,100000001,1,EA,8.0,KG,USD,689
RO-1003,PR,RO,12,2018-10-03,12,2018-10-03,100000002,1,EA,9.1,KG,USD,721
BX-1011,PR,BX,9,2018-10-03,9,2018-10-03,100000003,1,EA,11.1,KG,USD,249
BX-1012,PR,BX,6,2018-10-03,6,2018-10-03,100000004,1,EA,12.0,KG,USD,399
BX-1013,PR,BX,7,2018-10-03,7,2018-10-03,100000005,1,EA,13.1,KG,USD,449
BX-1014,PR,BX,11,2018-10-03,11,2018-10-03,100000006,1,EA,11.8,KG,USD,799
BX-1015,PR,BX,8,2018-10-03,8,2018-10-03,100000007,1,EA,12.5,KG,USD,299
BX-1016,PR,BX,11,2018-10-03,11,2018-10-03,100000008,1,EA,12.8,KG,USD,319
CC-1021,PR,CC,10,2018-10-03,10,2018-10-03,100000009,1,EA,8.1,KG,USD,1144
CC-1022,PR,CC,13,2018-10-03,13,2018-10-03,100000010,1,EA,8.0,KG,USD,1200
CC-1023,PR,CC,12,2018-10-03,12,2018-10-03,100000011,1,EA,8.6,KG,USD,1361
MB-1031,PR,MB,12,2018-10-03,12,2018-10-03,100000012,1,EA,12.7,KG,USD,649
MB-1032,PR,MB,2,2018-10-03,2,2018-10-03,100000013,1,EA,12.0,KG,USD,1299
MB-1033,PR,MB,7,2018-10-03,7,2018-10-03,100000014,1,EA,13.1,KG,USD,3999
MB-1034,PR,MB,11,2018-10-03,11,2018-10-03,100000015,1,EA,12.5,KG,USD,2499
RC-1051,PR,RC,1,2018-10-03,1,2018-10-03,100000016,1,EA,7.1,KG,USD,2499
RC-1052,PR,RC,5,2018-10-03,5,2018-10-03,100000017,1,EA,7.5,KG,USD,3999
RC-1053,PR,RC,3,2018-10-03,3,2018-10-03,100000018,1,EA,6.9,KG,USD,4599
RC-1054,PR,RC,14,2018-10-03,14,2018-10-03,100000019,1,EA,7.0,KG,USD,5499
RC-1055,PR,RC,2,2018-10-03,2,2018-10-03,100000020,1,EA,7.2,KG,USD,1999
RC-1056,PR,RC,13,2018-10-03,13,2018-10-03,100000021,1,EA,7.8,KG,USD,2499
RC-1057,PR,RC,12,2018-10-03,12,2018-10-03,100000022,1,EA,7.3,KG,USD,4999
DB-1081,PR,DB,10,2018-10-03,10,2018-10-03,100000023,1,EA,13.6,KG,USD,1499
DB-1082,PR,DB,4,2018-10-03,4,2018-10-03,100000024,1,EA,14.3,KG,USD,1250
DB-1083,PR,DB,6,2018-10-03,6,2018-10-03,100000025,1,EA,15.4,KG,USD,1199
EB-1131,PR,EB,14,2018-10-03,14,2018-10-03,100000026,1,EA,18.1,KG,USD,1500
EB-1132,PR,EB,14,2018-10-03,14,2018-10-03,100000027,1,EA,18.8,KG,USD,1900
EB-1133,PR,EB,5,2018-10-03,5,2018-10-03,100000028,1,EA,21.0,KG,USD,2250
EB-1134,PR,EB,4,2018-10-03,4,2018-10-03,100000029,1,EA,20.1,KG,USD,4800
EB-1135,PR,EB,12,2018-10-03,12,2018-10-03,100000030,1,EA,19.3,KG,USD,3000
EB-1136,PR,EB,7,2018-10-03,7,2018-10-03,100000031,1,EA,20.5,KG,USD,5000
EB-1137,PR,EB,6,2018-10-03,6,2018-10-03,100000032,1,EA,22.0,KG,USD,7900
CB-1161,PR,CB,6,2018-10-03,6,2018-10-03,100000033,1,EA,15.0,KG,USD,399
CB-1162,PR,CB,9,2018-10-03,9,2018-10-03,100000034,1,EA,18.0,KG,USD,400
CB-1163,PR,CB,14,2018-10-03,14,2018-10-03,100000035,1,EA,16.0,KG,USD,288
HB-1171,PR,HB,1,2018-10-03,1,2018-10-03,100000036,1,EA,11.0,KG,USD,699
HB-1172,PR,HB,1,2018-10-03,1,2018-10-03,100000037,1,EA,12.1,KG,USD,799
HB-1173,PR,HB,3,2018-10-03,3,2018-10-03,100000038,1,EA,13.5,KG,USD,649
HB-1174,PR,HB,3,2018-10-03,3,2018-10-03,100000039,1,EA,11.8,KG,USD,379
HB-1175,PR,HB,7,2018-10-03,7,2018-10-03,100000040,1,EA,12.5,KG,USD,899
HB-1176,PR,HB,5,2018-10-03,5,2018-10-03,100000041,1,EA,12.9,KG,USD,1199
